name,picklescan_result,modelscan_result,fickling_result,modeltracer_result,fickling_category,weights_only_result,picklescan_output,modelscan_output,fickling_output,weights_only_output
/home/xgc/ML_Research/download_weights_bypass/TrLOX__gpt2-tdk/pytorch_model_injected_system_nslookup_whoami_weights_bypass_ultimate.bin,False,False,True,True,Severity.LIKELY_UNSAFE,False,False,False,"`from torch._utils import _rebuild_tensor_v2` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import FloatStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
`from torch import ByteStorage` imports a Python module that is not a part of the standard library; this can execute arbitrary code and is inherently unsafe
Variable `_var51` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var13` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var163` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var123` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var131` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var157` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var29` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var107` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var97` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var147` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var115` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var19` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var139` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var49` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var117` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var59` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var127` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var125` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var9` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var113` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var103` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var121` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var23` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var27` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var79` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var25` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var119` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var81` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var33` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var43` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var21` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var109` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var111` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var93` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var85` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var101` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var141` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var151` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var63` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var35` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var89` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var153` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var73` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var67` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var155` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var53` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var39` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var69` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var145` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var1` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var129` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var149` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var3` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var65` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var45` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var137` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var31` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var173` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
Variable `_var133` is assigned value `_rebuild_tensor_v2(...)` but unused afterward; this is suspicious and indicative of a malicious pickle file
